iter	Passed	Remaining
0	191	191196
1	197	98526
2	198	66115
3	201	50069
4	203	40533
5	205	34119
6	207	29480
7	211	26170
8	212	23423
9	216	21400
10	218	19643
11	221	18271
12	223	16997
13	227	16026
14	231	15232
15	233	14351
16	235	13606
17	236	12922
18	238	12337
19	242	11863
20	243	11360
21	246	10937
22	248	10539
23	250	10173
24	252	9836
25	254	9517
26	257	9275
27	258	8990
28	260	8733
29	262	8496
30	264	8268
31	266	8065
32	268	7868
33	272	7729
34	274	7557
35	276	7398
36	278	7239
37	279	7078
38	281	6926
39	282	6782
40	284	6644
41	287	6559
42	289	6446
43	291	6331
44	293	6221
45	294	6112
46	296	6014
47	298	5921
48	300	5831
49	302	5746
50	303	5655
51	305	5572
52	308	5508
53	310	5433
54	311	5360
55	313	5287
56	316	5241
57	319	5182
58	321	5122
59	322	5054
60	324	4990
61	326	4934
62	328	4880
63	329	4820
64	333	4796
65	335	4742
66	336	4692
67	338	4643
68	340	4596
69	342	4546
70	343	4496
71	345	4448
72	348	4420
73	350	4381
74	351	4340
75	353	4298
76	354	4253
77	356	4210
78	357	4167
79	358	4127
80	360	4090
81	362	4054
82	362	4009
83	366	3993
84	367	3960
85	369	3932
86	371	3902
87	373	3875
88	377	3860
89	378	3829
90	380	3797
91	381	3765
92	382	3734
93	387	3731
94	391	3729
95	394	3716
96	397	3700
97	399	3678
98	401	3650
99	402	3626
100	405	3605
101	407	3586
102	409	3563
103	411	3542
104	413	3521
105	415	3500
106	416	3479
107	419	3468
108	421	3449
109	423	3428
110	425	3406
111	426	3383
112	428	3361
113	429	3340
114	432	3324
115	436	3324
116	437	3304
117	440	3291
118	442	3274
119	443	3255
120	445	3237
121	446	3216
122	450	3212
123	452	3199
124	455	3187
125	457	3171
126	458	3154
127	460	3139
128	463	3127
129	466	3124
130	468	3109
131	471	3097
132	472	3083
133	474	3068
134	477	3060
135	484	3078
136	488	3075
137	493	3080
138	498	3090
139	502	3088
140	509	3103
141	510	3084
142	513	3078
143	515	3064
144	517	3051
145	519	3036
146	520	3020
147	522	3006
148	540	3087
149	542	3072
150	546	3071
151	548	3058
152	549	3042
153	551	3027
154	553	3015
155	555	3003
156	557	2991
157	558	2978
158	560	2963
159	561	2949
160	562	2931
161	564	2917
162	565	2904
163	567	2891
164	568	2876
165	569	2862
166	573	2859
167	574	2845
168	575	2832
169	579	2827
170	580	2816
171	582	2805
172	584	2796
173	588	2791
174	589	2779
175	590	2766
176	592	2755
177	594	2743
178	595	2732
179	597	2720
180	598	2707
181	599	2695
182	601	2683
183	604	2679
184	606	2670
185	607	2659
186	609	2647
187	610	2636
188	611	2625
189	613	2614
190	614	2603
191	616	2595
192	618	2585
193	620	2576
194	621	2565
195	622	2555
196	624	2544
197	626	2536
198	628	2527
199	629	2518
200	632	2515
201	634	2505
202	636	2497
203	637	2488
204	639	2480
205	641	2472
206	643	2465
207	645	2457
208	648	2455
209	650	2447
210	652	2440
211	654	2432
212	655	2423
213	657	2413
214	659	2407
