iter	Passed	Remaining
0	1	115
1	2	112
2	3	103
3	4	99
4	5	97
5	6	94
6	6	92
7	7	91
8	8	90
9	9	87
10	10	86
11	11	85
12	12	84
13	13	83
14	14	82
15	15	81
16	16	81
17	17	80
18	19	82
19	20	80
20	21	81
21	22	80
22	23	78
23	24	77
24	25	76
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	62
36	36	61
37	37	60
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	48
49	47	47
50	48	46
51	49	46
52	50	45
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	72	24
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
